; --- 채팅봇의 답변용 키워드 사전 ---
; key, pattern, message
안녕, *, 안녕하세요.
안녕, *, 어서오세요. 잘 지내세요?
지내, 잘 지내?, 잘 지내요. 님은요?
아침, 좋은 아침, 좋은 아침이예요. 
이다, 이다, 그렇군요.
일까, 일까, 글쎼요. 아리송하네요. 
맛있, 맛있어, 진짜!
이쁘, 이뻐, 진짜 이쁘죠.
생각, 라고 생각해, 그렇게 생각하는 이유가 있나요?
기억, 기억해, 잊지 않을게요.
싶, 싶어, 저도 마찬가지예요.
어려워, 어려워, 그것이 어려운 이유는 무엇일까요?
으면,*, 그러면 좋을까요?
이름, *, 그 이름에는 어떤 의미가 있나요?
미안, 미안해, 괜찮아요.
슬프,*, 어째서 슬프십니까?
기쁘,*, 다행입니다!
감기,*,조심하세요!
어째서,*,왜 그럴까요? 어떻게 생각하세요?
왜, *, 글쎄요. 왜 그럴까요?
누구,누구일까, 글쎄요, 누구일까요?
어디,어디일까,글쎄요, 어디일까요?
생각,*, 그렇게 생각할 수도 있을 거 같아요.
아닌가,아닌가?,아닐 지도 모르겠습니다. 
